,name,link
208,Давыдова М.А.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=14113
209,Дадинова Л.А.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=14137
210,Данилова Н.П.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=13935
211,Двинин С.А.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=8407
212,Деденко Л.Г.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=1042
213,Делицын А.Л.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=1043
214,Демидович Г.Б.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=1045
215,Демин Д.С.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=20675
216,Денисов В.И.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=1047
217,Джиджоев М.С.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=1048
218,Дмитриев А.В.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=13936
219,Дмитриев К.В.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=14030
220,Днепровский В.С.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=1049
221,Долгова Т.В.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=14089
222,Доленко Т.А.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=1051
223,Долженко Д.Е.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=14288
224,Домнина Н.А.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=14203
225,Дорожкин П.А.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=22284
226,Драбович К.Н.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=1052
227,Дроздова Е.В.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=1053
228,Дубинин М.Н.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=16078
229,Дубровин Е.В.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=16065
230,Дьяков В.А.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=1054
231,Дядичев В.В.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=10449
232,Евстафьева В.В.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=8755
